"papers_name","papers_url","papers_autor","papers_periodo"
"Manejo integrado de Hypothenemus hampei bajo dos modelos de capacitación y difusión en México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6553","Jarquín Gálvez, Ramón; Barrera, Juan F.; García Barrios, Luis; Guharay, Falguni; Jiménez Sánchez, Leobardo","2006"
"Producción orgánica: algunas limitaciones que enfrentan los pequeños productores","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6720","Brenes, L.","2003"
"Evaluación de formulaciones de Beauveria bassiana (Vuill.) en el campo contra el picudo de la yema del manzano Amphidees spp. (Coleoptera: Curculionidae) en Arteaga, Coahuila, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6263","Gallegos Morales, G.; Olayo Paredes, R.P.; Guerrero Rodríguez, E.; Sánchez Valdez, V.M.; Sánchez Pérez, F. de J.; Cepeda Siller, M.","2005"
"Efecto de subcultivos sucesivos de Beauveria bassiana sobre sus características y actividad contra Premnotrypes vorax","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6119","García, Magda X.; Villamizar, Laura F.; Torres, Lissette A.; Cotes, Alba M.","2006"
"Avances en el control biológico de Botritys cinerea en chile y tomate cultivados bajo techo","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5815","Salas Brenes, William; Sánchez Garita, Vera","2006"
"Luis Alberto Fournier Origgi: docencia e investigación universitaria en pro del desarrollo sostenible","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6524","García G, J.E.; Di Stéfano, J.F.","2004"
"Efecto de la rotación cvon leguminosas sobre la productividad del cultivo de piña (Ananas comosus [L.] Merr.) y cultivos intercalados en Tabasco, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6112","García de la Cruz, Rubén; García Espinosa, Roberto; Rodríguez Guzmán, María del Pilar; González Hernández, Héctor; Palma López, David J.","2006"
"Flutuação populacional de adultos de Chrysoperla externa (Hagen 1861) (Neuroptera: Chrysopidae) em cafeeiros conduzidos em sistemas orgânico e convencional","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6328","Silva, Rogéiro Antonio; Reis, Paulo Rebelles; Souza, Brigida; Carvalho, César Freire; Carvalho, Geraldo Andrade; Cosme, Luciano Veiga","2006"
"Variabilidades inter e intraespecífica en la susceptibilidad de ácaros fitoseidos a deltametrina en cítricos en Brasil","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6915","Poletti, M.; Omoto, C.","2005"
"Uso de fêmeas virgens na coleta massal de Bephratelloides pomorum (Fab.) (Hymenoptera: Eurytomidae) em Annona muricata L. (Annonaceae)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6886","Moura, José Inácio L.; Sgrillo, Ricardo B.; Sgrillo, Katia R.P.A.; Vilela, Evaldo F.; Bento, Jose Mauricio S.","2006"
"Aportes de productores y científicos al entendimiento de la agregación de Hypothenemus hampei en Chiapas, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5783","Jarquín Gálvez, R.; Jiménez Sánchez, L.; Guharay, F.; Barrera, J.F.","2005"
"El injerto en la producción de cacao orgánico","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6411","Echeverri Rodríguez, Jorge H.","2006"
"La taxonomía en el control biológico de malezas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6473","Maes, J.M.","2003"
"Diversidad de especies de hormigas en un gradiente de cafetales orgánicos y convencionales","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6075","Barbera, N.; Hanson, Paul; Longino, J.T.; Carballo, Manuel; Melo, E. de; Hilje Quirós, Luko","2004"
"Estatus del manejo de Bemisia tabaci en América Latina y el Caribe: ocho preguntas pertinentes","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6231","Hilje Quirós, Luko","2003"
"Selección de plantas de cacao resistentes a la moniliasis usando savia del floema y fluidos embriónicos de frutos jóvenes","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6800","Arévalo G, E.; Ortiz B, C.; Zúñiga C, L.; Gonzales V, J.","2005"
"Diagnóstico del uso de insecticidas utilizados contra Bemisia tabaci (Gennadius) en tomate y chile en Costa Rica","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6039","Araya R, L.; Carazo R, E.; Cartín L, V.M.","2005"
